segment_key,count,mean,std,min,25%,50%,75%,max
accessory | canvas_cotton | Entry,25.0,13.76,4.602467635229316,8.5,11.0,11.0,15.0,27.0
tote | leather | Mid,2.0,44.0,0.0,44.0,44.0,44.0,44.0,44.0
tote | leather | Mid+,1.0,83.98,,83.98,83.98,83.98,83.98,83.98
tote | leather | Premium,9.0,382.00444444444446,175.40632821474193,198.0,227.97,348.0,505.22,693.15
tote | nylon | Entry,1.0,20.0,,20.0,20.0,20.0,20.0,20.0
tote | nylon | Mid,2.0,32.5,3.5355339059327378,30.0,31.25,32.5,33.75,35.0
tote | nylon | Mid+,2.0,83.98,0.0,83.98,83.98,83.98,83.98,83.98
tote | nylon | Premium,2.0,201.78500000000003,50.098515447066895,166.36,184.07250000000002,201.78500000000003,219.4975,237.21
tote | recycled | Entry,2.0,16.5,2.1213203435596424,15.0,15.75,16.5,17.25,18.0
tote | recycled | Mid,1.0,35.0,,35.0,35.0,35.0,35.0,35.0
tote | straw | Entry,1.0,25.0,,25.0,25.0,25.0,25.0,25.0
tote | straw | Mid,8.0,37.5,2.6726124191242437,35.0,35.0,37.5,40.0,40.0
tote | straw | Mid+,1.0,65.32,,65.32,65.32,65.32,65.32,65.32
tote | straw | Premium,2.0,200.25,76.24025314753355,146.34,173.29500000000002,200.25,227.20499999999998,254.16
tote | unknown | Entry,6.0,20.583333333333332,6.406377031260857,8.5,20.0,22.5,25.0,25.0
tote | unknown | Mid,6.0,35.833333333333336,3.7638632635454052,30.0,35.0,35.0,38.75,40.0
tote | unknown | Mid+,1.0,83.98,,83.98,83.98,83.98,83.98,83.98
tote | unknown | Premium,3.0,11033.333333333334,1674.3157806499148,9100.0,10550.0,12000.0,12000.0,12000.0
tote | unknown | Upper Mid,1.0,102.64,,102.64,102.64,102.64,102.64,102.64
tote | vegan_leather | Mid,3.0,47.99666666666667,12.121469932864304,34.0,44.495000000000005,54.99,54.995000000000005,55.0
tote | vegan_leather | Upper Mid,1.0,93.31,,93.31,93.31,93.31,93.31,93.31
weekender | canvas_cotton | Mid,1.0,30.0,,30.0,30.0,30.0,30.0,30.0
weekender | recycled | Premium,2.0,195.0,0.0,195.0,195.0,195.0,195.0,195.0
weekender | unknown | Mid,1.0,35.0,,35.0,35.0,35.0,35.0,35.0
