source,brand,category,mission,price_band,sku_count,category_total,density
shade & shore,shade & shore,Beach Bags,oversized_carryall,0_15,1,8,0.125
shade & shore,shade & shore,Beach Bags,oversized_carryall,35_50,1,8,0.125
shade & shore,shade & shore,Beach Bags,slg_small_leathers,25_35,1,8,0.125
shade & shore,shade & shore,Beach Bags,travel_utility,15_25,1,8,0.125
shade & shore,shade & shore,Beach Bags,weekend_bucket,35_50,1,8,0.125
universal thread,universal thread,Adult Backpacks,everyday_crossbody,25_35,1,1,1.0
universal thread,universal thread,Bag Charms & Straps,convertible_multiway,0_15,1,10,0.1
universal thread,universal thread,Bag Charms & Straps,micro_mini_impulse,0_15,6,10,0.6
universal thread,universal thread,Bag Charms & Straps,statement_fashion,0_15,2,10,0.2
universal thread,universal thread,Bag Charms & Straps,travel_utility,0_15,1,10,0.1
universal thread,universal thread,Beach Bags,micro_mini_impulse,25_35,1,1,1.0
universal thread,universal thread,Clutches,travel_utility,0_15,1,1,1.0
universal thread,universal thread,Crossbody & Messenger Bags,eco_conscious,35_50,1,13,0.076923
universal thread,universal thread,Crossbody & Messenger Bags,everyday_crossbody,0_15,3,13,0.230769
universal thread,universal thread,Crossbody & Messenger Bags,everyday_crossbody,15_25,4,13,0.307692
universal thread,universal thread,Crossbody & Messenger Bags,everyday_crossbody,25_35,3,13,0.230769
universal thread,universal thread,Crossbody & Messenger Bags,micro_mini_impulse,25_35,2,13,0.153846
universal thread,universal thread,Fashion Backpacks,campus_student,35_50,4,5,0.8
universal thread,universal thread,Fashion Backpacks,convertible_multiway,35_50,1,5,0.2
universal thread,universal thread,Makeup Bags & Organizers,travel_utility,15_25,1,1,1.0
universal thread,universal thread,Mini Bags,micro_mini_impulse,25_35,3,3,1.0
universal thread,universal thread,Satchels,convertible_multiway,25_35,1,2,0.5
universal thread,universal thread,Satchels,eco_conscious,25_35,1,2,0.5
universal thread,universal thread,Shoulder Bags,eco_conscious,35_50,2,16,0.125
universal thread,universal thread,Shoulder Bags,everyday_crossbody,25_35,1,16,0.0625
universal thread,universal thread,Shoulder Bags,everyday_crossbody,35_50,1,16,0.0625
universal thread,universal thread,Shoulder Bags,micro_mini_impulse,15_25,1,16,0.0625
universal thread,universal thread,Shoulder Bags,minimal_modern,15_25,1,16,0.0625
universal thread,universal thread,Shoulder Bags,statement_fashion,25_35,2,16,0.125
universal thread,universal thread,Shoulder Bags,travel_utility,15_25,1,16,0.0625
universal thread,universal thread,Shoulder Bags,travel_utility,35_50,1,16,0.0625
universal thread,universal thread,Shoulder Bags,weekend_bucket,15_25,1,16,0.0625
universal thread,universal thread,Shoulder Bags,weekend_bucket,25_35,1,16,0.0625
universal thread,universal thread,Shoulder Bags,weekend_bucket,35_50,4,16,0.25
universal thread,universal thread,Weekender Bags,oversized_carryall,25_35,1,4,0.25
universal thread,universal thread,Weekender Bags,travel_utility,25_35,1,4,0.25
universal thread,universal thread,Weekender Bags,travel_utility,35_50,2,4,0.5
wild fable,wild fable,Bag Charms & Straps,micro_mini_impulse,0_15,2,2,1.0
wild fable,wild fable,Clutches,weekend_bucket,0_15,1,1,1.0
wild fable,wild fable,Crossbody & Messenger Bags,everyday_crossbody,15_25,5,7,0.714286
wild fable,wild fable,Crossbody & Messenger Bags,festival_outdoor,15_25,1,7,0.142857
wild fable,wild fable,Crossbody & Messenger Bags,weekend_bucket,15_25,1,7,0.142857
wild fable,wild fable,Fashion Backpacks,campus_student,25_35,2,3,0.666667
wild fable,wild fable,Fashion Backpacks,micro_mini_impulse,15_25,1,3,0.333333
wild fable,wild fable,Handbags & Purses,campus_student,0_15,1,1,1.0
wild fable,wild fable,Shoulder Bags,everyday_crossbody,15_25,1,4,0.25
wild fable,wild fable,Shoulder Bags,weekend_bucket,25_35,3,4,0.75
